comparison,train_model,test_model,prototype_method,feature,acc,f1,observed_raw_f1,observed_aligned_f1,gain_vs_observed_aligned_f1
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-MiniLM-L6-v2,rise_style,delta_only,0.782,0.7730443716277334,0.2227781579523024,0.7730443716277334,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-MiniLM-L6-v2,rise_style,rise_style_prototype_scores,0.39,0.2605392794825076,0.2227781579523024,0.7730443716277334,-0.5125050921452259
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-MiniLM-L6-v2,rise_style,rise_style_hybrid_delta_scores,0.274,0.17907715445151756,0.2227781579523024,0.7730443716277334,-0.5939672171762158
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-mpnet-base-v2,mdv_raw,delta_only,0.822,0.8315592311574014,0.2289937529181781,0.8315592311574014,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-mpnet-base-v2,mdv_raw,mdv_raw_prototype_scores,0.36,0.282978154958353,0.2289937529181781,0.8315592311574014,-0.5485810761990484
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-mpnet-base-v2,mdv_raw,mdv_raw_hybrid_delta_scores,0.426,0.3458571988660536,0.2289937529181781,0.8315592311574014,-0.4857020322913478
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-mpnet-base-v2,mdv_unit,delta_only,0.822,0.8315592311574014,0.2289937529181781,0.8315592311574014,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-mpnet-base-v2,mdv_unit,mdv_unit_prototype_scores,0.354,0.25869676714426637,0.2289937529181781,0.8315592311574014,-0.572862464013135
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-mpnet-base-v2,mdv_unit,mdv_unit_hybrid_delta_scores,0.332,0.2181752189102128,0.2289937529181781,0.8315592311574014,-0.6133840122471885
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-mpnet-base-v2,rise_style,delta_only,0.822,0.8315592311574014,0.2289937529181781,0.8315592311574014,0.0
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-mpnet-base-v2,rise_style,rise_style_prototype_scores,0.568,0.5095125877185951,0.2289937529181781,0.8315592311574014,-0.3220466434388063
cross_model_full_anchor,microsoft/deberta-v3-base,sentence-transformers/all-mpnet-base-v2,rise_style,rise_style_hybrid_delta_scores,0.354,0.224116893805106,0.2289937529181781,0.8315592311574014,-0.6074423373522954
